,zonas,enderecos,precos,areas,quartos
0,sul,"Rua Deputado João Sussumu Hirata, 38, Vila Andrade, São Paulo Zona Sul, São Paulo",4500,175,4.0
1,sul,"Rua Manuel Da Nóbrega, 533, Paraíso, São Paulo Zona Sul, São Paulo",4400,150,3.0
2,sul,"Rua Manuel Da Nóbrega, 533, Paraíso, São Paulo Zona Sul, São Paulo",4400,150,3.0
3,sul,"Jardim Prudência, São Paulo Zona Sul, São Paulo",4400,120,3.0
4,sul,"Rua Celso Ramos, Vila Andrade, São Paulo Zona Sul, São Paulo",2900,66,2.0
5,sul,"Rua Maestro João Sepe, Jardim Maria Estela, São Paulo Zona Sul, São Paulo",577,40,
6,sul,"Rua Azor Silva, Vila Fachini, São Paulo Zona Sul, São Paulo",900,70,
7,sul,"Rua Doutor Nicolau Alberto Defina, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",1050,65,2.0
8,sul,"Rua Salto, Paraíso, São Paulo Zona Sul, São Paulo",1190,30,
9,sul,"Rua Das Aroeiras, Jabaquara, São Paulo Zona Sul, São Paulo",1350,58,2.0
10,sul,"Avenida Nazaré, Ipiranga, São Paulo Zona Sul, São Paulo",1320,15,
11,sul,"Avenida Washington Luís, Santo Amaro, São Paulo Zona Sul, São Paulo",1575,38,
12,sul,"Rua Zike Tuma, Jardim Ubirajara (zona Sul), São Paulo Zona Sul, São Paulo",1590,74,3.0
13,sul,"Rua Leopoldo Couto Magalhaes Junior, 539, Itaim Bibi, São Paulo Zona Sul, São Paulo",4400,45,
14,sul,"Rua Ouro Branco, Jardim Paulista, São Paulo Zona Sul, São Paulo",1683,40,
15,sul,"Rua Alessandro Alberti, Jardim Celeste, São Paulo Zona Sul, São Paulo",1200,55,2.0
16,sul,"Rua Bom Pastor, Ipiranga, São Paulo Zona Sul, São Paulo",1400,150,2.0
17,sul,"Rua Luís Romero Sanson, Interlagos, São Paulo Zona Sul, São Paulo",3500,260,5.0
18,sul,"Rua Bento Vieira, Ipiranga, São Paulo Zona Sul, São Paulo",2100,53,2.0
19,sul,"Rua Santa Rita Doeste, Parque Jabaquara, São Paulo Zona Sul, São Paulo",1200,49,2.0
20,sul,"Avenida João De Barros, Socorro, São Paulo Zona Sul, São Paulo",1600,50,2.0
21,sul,"Rua Bandeira Paulista, Itaim Bibi, São Paulo Zona Sul, São Paulo",3360,41,
22,sul,"Rua Visconde De Aguiar Toledo, Vila Congonhas, São Paulo Zona Sul, São Paulo",5500,500,4.0
23,sul,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2550,42,
24,sul,"Rua Henri Dunant, Santo Amaro, São Paulo Zona Sul, São Paulo",2230,33,
25,sul,"Rua Abdo Ambuba, Vila Andrade, São Paulo Zona Sul, São Paulo",1619,74,2.0
26,sul,"Rua Vergueiro, Vila Firmiano Pinto, São Paulo Zona Sul, São Paulo",1500,65,3.0
27,sul,"Avenida Moema, Moema, São Paulo Zona Sul, São Paulo",2700,90,2.0
28,sul,"Rua Maestro Cállia, Vila Mariana, São Paulo Zona Sul, São Paulo",1912,65,2.0
29,sul,"Rua Maria José Da Conceição, Vila Andrade, São Paulo Zona Sul, São Paulo",2060,58,2.0
30,sul,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2450,76,2.0
31,sul,"Rua Marília De Dirceu, Santo Amaro, São Paulo Zona Sul, São Paulo",1650,68,2.0
32,sul,"Rua Urimonduba, Itaim Bibi, São Paulo Zona Sul, São Paulo",5800,87,3.0
33,sul,"Rua Professora Heloísa Carneiro, Jardim Aeroporto, São Paulo Zona Sul, São Paulo",1400,75,2.0
34,sul,"Rua Desembargador Aragão, Vila Mariana, São Paulo Zona Sul, São Paulo",2450,40,
35,sul,"Rua Rio Grande, Vila Mariana, São Paulo Zona Sul, São Paulo",4300,100,3.0
36,sul,"Rua Doutora Neyde Apparecida Sollitto, Vila Clementino, São Paulo Zona Sul, São Paulo",2000,50,
37,sul,"Rua Haddock Lobo, Jardim Paulista, São Paulo Zona Sul, São Paulo",3500,55,
38,sul,"Rua Democratas, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",2000,62,3.0
39,sul,"Avenida Jabaquara, Mirandópolis, São Paulo Zona Sul, São Paulo",2000,25,
40,sul,"Rua Engenheiro Agenor Machado, Santo Amaro, São Paulo Zona Sul, São Paulo",3978,180,3.0
41,sul,"Avenida Do Café, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",2700,96,3.0
42,sul,"Rua Dona Brígida, Vila Mariana, São Paulo Zona Sul, São Paulo",6200,74,2.0
43,sul,"Rua Charles Spencer Chaplin, Vila Andrade, São Paulo Zona Sul, São Paulo",2463,48,
44,sul,"Rua Eugênio Falk, Saúde, São Paulo Zona Sul, São Paulo",1100,60,2.0
45,sul,"Rua Agostinho Gomes, Ipiranga, São Paulo Zona Sul, São Paulo",2900,68,2.0
46,sul,"Rua Francisco Hurtado, Água Funda, São Paulo Zona Sul, São Paulo",1600,54,2.0
47,sul,"Rua César Vallejo, Real Parque, São Paulo Zona Sul, São Paulo",2550,35,
48,sul,"Rua Stefano Franceschini, Saúde, São Paulo Zona Sul, São Paulo",1530,80,2.0
49,sul,"Rua Pascal, Campo Belo, São Paulo Zona Sul, São Paulo",2800,64,2.0
50,sul,"Avenida Camilo Castelo Branco, Vila Gumercindo, São Paulo Zona Sul, São Paulo",1785,54,2.0
51,sul,"Rua Benedito Fernandes, Santo Amaro, São Paulo Zona Sul, São Paulo",1650,52,2.0
52,sul,"Rua Vieira De Morais, Campo Belo, São Paulo Zona Sul, São Paulo",2200,85,3.0
53,sul,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",2800,105,3.0
54,sul,"Rua Urussuí, Itaim Bibi, São Paulo Zona Sul, São Paulo",3400,43,
55,sul,"Avenida Macuco, Moema, São Paulo Zona Sul, São Paulo",3750,93,3.0
56,sul,"Rua Ossian Terceiro Téles, Jardim Prudência, São Paulo Zona Sul, São Paulo",5000,208,4.0
57,sul,"Avenida Nossa Senhora Do Sabará, Vila Isa, São Paulo Zona Sul, São Paulo",2180,74,3.0
58,sul,"Rua Professora Edmeia Attab, São João Climaco, São Paulo Zona Sul, São Paulo",1400,60,
59,sul,"Avenida João Peixoto Viegas, Jardim Consórcio, São Paulo Zona Sul, São Paulo",3949,124,3.0
60,sul,"Rua Fiandeiras, Vila Olímpia, São Paulo Zona Sul, São Paulo",3780,42,
61,sul,"Rua Cipriano Barata, Ipiranga, São Paulo Zona Sul, São Paulo",6750,137,3.0
62,sul,"Rua Major Freire, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",2575,80,2.0
63,sul,"Rua Doutor Chibata Miyakoshi, Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",2200,67,
64,sul,"Rua Almaden, Vila Andrade, São Paulo Zona Sul, São Paulo",2500,50,2.0
65,sul,"Rua Do Manifesto, Ipiranga, São Paulo Zona Sul, São Paulo",3200,67,2.0
66,sul,"Alameda Joaquim Eugênio De Lima, Jardim Paulista, São Paulo Zona Sul, São Paulo",4300,105,3.0
67,sul,"Avenida Sargento Geraldo Sant`ana, 301, Jardim Taquaral, São Paulo Zona Sul, São Paulo",2000,64,2.0
68,sul,"Avenida Jabaquara, Mirandópolis, São Paulo Zona Sul, São Paulo",1350,36,
69,sul,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo Zona Sul, São Paulo",2975,60,
70,sul,"Rua Estela 22, Vila Mariana, São Paulo Zona Sul, São Paulo",1800,38,
71,sul,"Rua Soldado João De Oliveira, Chácara Inglesa, São Paulo Zona Sul, São Paulo",2575,127,2.0
72,sul,"Rua Das Flechas, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1900,58,2.0
73,sul,"Avenida Miguel Estéfno, Saúde, São Paulo Zona Sul, São Paulo",2040,62,2.0
74,sul,"Rua José Benedito Salinas, Jardim Itapeva, São Paulo Zona Sul, São Paulo",2200,70,2.0
75,sul,"Rua Vieira De Morais, Campo Belo, São Paulo Zona Sul, São Paulo",4000,123,3.0
76,sul,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",4250,160,2.0
